child,parent
ORPHA:1037,ORPHA:109007
ORPHA:1037,ORPHA:557492
ORPHA:103907,ORPHA:377788
ORPHA:103907,ORPHA:557493
ORPHA:103908,ORPHA:377788
ORPHA:103908,ORPHA:557493
ORPHA:103909,ORPHA:377788
ORPHA:103909,ORPHA:557493
ORPHA:103910,ORPHA:377788
ORPHA:103910,ORPHA:557493
ORPHA:103918,ORPHA:377788
ORPHA:103918,ORPHA:557493
ORPHA:103919,ORPHA:101937
ORPHA:103919,ORPHA:557492
ORPHA:104,ORPHA:377788
ORPHA:104,ORPHA:557493
ORPHA:1040,ORPHA:377788
ORPHA:1040,ORPHA:557493
ORPHA:104003,ORPHA:117569
ORPHA:104003,ORPHA:165655
ORPHA:104003,ORPHA:506216
ORPHA:104003,ORPHA:557492
ORPHA:104004,ORPHA:117569
ORPHA:104004,ORPHA:165655
ORPHA:104004,ORPHA:557492
ORPHA:104005,ORPHA:117569
ORPHA:104005,ORPHA:557492
ORPHA:104006,ORPHA:117569
ORPHA:104006,ORPHA:165655
ORPHA:104006,ORPHA:557492
ORPHA:104007,ORPHA:117569
ORPHA:104007,ORPHA:165655
ORPHA:104007,ORPHA:506216
ORPHA:104007,ORPHA:557492
ORPHA:104008,ORPHA:117569
ORPHA:104008,ORPHA:506216
ORPHA:104008,ORPHA:557492
ORPHA:104009,ORPHA:117569
ORPHA:104009,ORPHA:165655
ORPHA:104009,ORPHA:506216
ORPHA:104009,ORPHA:557492
ORPHA:104010,ORPHA:425003
ORPHA:104010,ORPHA:506216
ORPHA:104010,ORPHA:557492
ORPHA:104011,ORPHA:117569
ORPHA:104011,ORPHA:506216
ORPHA:104011,ORPHA:557492
ORPHA:104011,ORPHA:98059
ORPHA:104012,ORPHA:117569
ORPHA:104012,ORPHA:506216
ORPHA:104012,ORPHA:557492
ORPHA:104013,ORPHA:117569
ORPHA:104013,ORPHA:165655
ORPHA:104013,ORPHA:557492
ORPHA:104075,ORPHA:377788
ORPHA:104075,ORPHA:557493
ORPHA:104076,ORPHA:377788
ORPHA:104076,ORPHA:557493
ORPHA:104077,ORPHA:557494
ORPHA:104078,ORPHA:557494
ORPHA:1041,ORPHA:377789
ORPHA:1041,ORPHA:557493
ORPHA:1046,ORPHA:377789
ORPHA:1046,ORPHA:557493
ORPHA:1047,ORPHA:108997
ORPHA:1047,ORPHA:557492
ORPHA:1048,ORPHA:377791
ORPHA:1048,ORPHA:557493
ORPHA:105,ORPHA:377791
ORPHA:105,ORPHA:557493
ORPHA:1051,ORPHA:377789
ORPHA:1051,ORPHA:557493
ORPHA:1052,ORPHA:377789
ORPHA:1052,ORPHA:557493
ORPHA:1053,ORPHA:377791
ORPHA:1053,ORPHA:557493
ORPHA:1054,ORPHA:377791
ORPHA:1054,ORPHA:557493
ORPHA:1055,ORPHA:377789
ORPHA:1055,ORPHA:557493
ORPHA:1059,ORPHA:377789
ORPHA:1059,ORPHA:557493
ORPHA:1062,ORPHA:377788
ORPHA:1062,ORPHA:557493
ORPHA:1063,ORPHA:377788
ORPHA:1063,ORPHA:557493
ORPHA:1064,ORPHA:377789
ORPHA:1064,ORPHA:557493
ORPHA:1065,ORPHA:377789
ORPHA:1065,ORPHA:557493
ORPHA:1067,ORPHA:377789
ORPHA:1067,ORPHA:557493
ORPHA:1068,ORPHA:377789
ORPHA:1068,ORPHA:557493
ORPHA:1069,ORPHA:377789
ORPHA:1069,ORPHA:557493
ORPHA:107,ORPHA:377789
ORPHA:107,ORPHA:557493
ORPHA:1070,ORPHA:377788
ORPHA:1070,ORPHA:557493
ORPHA:1071,ORPHA:377789
ORPHA:1071,ORPHA:557493
ORPHA:1072,ORPHA:557494
ORPHA:1074,ORPHA:557494
ORPHA:1077,ORPHA:377789
ORPHA:1077,ORPHA:557493
ORPHA:1078,ORPHA:377789
ORPHA:1078,ORPHA:557493
ORPHA:108,ORPHA:377788
ORPHA:108,ORPHA:557493
ORPHA:1081,ORPHA:557492
ORPHA:1081,ORPHA:88991
ORPHA:1083,ORPHA:377791
ORPHA:1083,ORPHA:557493
ORPHA:1084,ORPHA:377788
ORPHA:1084,ORPHA:557493
ORPHA:108959,ORPHA:557492
ORPHA:108959,ORPHA:88993
ORPHA:108961,ORPHA:557492
ORPHA:108961,ORPHA:88993
ORPHA:108963,ORPHA:557492
ORPHA:108963,ORPHA:97944
ORPHA:108965,ORPHA:557492
ORPHA:108965,ORPHA:97944
ORPHA:108967,ORPHA:557492
ORPHA:108967,ORPHA:97945
ORPHA:108969,ORPHA:557492
ORPHA:108969,ORPHA:97945
ORPHA:108971,ORPHA:183548
ORPHA:108971,ORPHA:506216
ORPHA:108971,ORPHA:557492
ORPHA:108971,ORPHA:98041
ORPHA:108973,ORPHA:183548
ORPHA:108973,ORPHA:557492
ORPHA:108973,ORPHA:98041
ORPHA:108977,ORPHA:557492
ORPHA:108977,ORPHA:98043
ORPHA:108979,ORPHA:557492
ORPHA:108979,ORPHA:98043
ORPHA:108989,ORPHA:557492
ORPHA:108989,ORPHA:98044
ORPHA:108991,ORPHA:557492
ORPHA:108991,ORPHA:98044
ORPHA:108993,ORPHA:183554
ORPHA:108993,ORPHA:557492
ORPHA:108993,ORPHA:97962
ORPHA:108993,ORPHA:98045
ORPHA:108995,ORPHA:557492
ORPHA:108995,ORPHA:97962
ORPHA:108995,ORPHA:98045
ORPHA:108997,ORPHA:557492
ORPHA:108997,ORPHA:97992
ORPHA:108999,ORPHA:557492
ORPHA:109,ORPHA:557494
ORPHA:109007,ORPHA:109009
ORPHA:109007,ORPHA:404577
ORPHA:109007,ORPHA:557492
ORPHA:109009,ORPHA:557492
ORPHA:109009,ORPHA:68378
ORPHA:109011,ORPHA:183536
ORPHA:109011,ORPHA:557492
ORPHA:109011,ORPHA:68378
ORPHA:1094,ORPHA:377789
ORPHA:1094,ORPHA:557493
ORPHA:11,ORPHA:377789
ORPHA:11,ORPHA:557493
ORPHA:110,ORPHA:377788
ORPHA:110,ORPHA:557493
ORPHA:1101,ORPHA:377789
ORPHA:1101,ORPHA:557493
ORPHA:1104,ORPHA:377789
ORPHA:1104,ORPHA:557493
ORPHA:1106,ORPHA:377789
ORPHA:1106,ORPHA:557493
ORPHA:111,ORPHA:377788
ORPHA:111,ORPHA:557493
ORPHA:1110,ORPHA:377789
ORPHA:1110,ORPHA:557493
ORPHA:1112,ORPHA:377789
ORPHA:1112,ORPHA:557493
ORPHA:1113,ORPHA:377789
ORPHA:1113,ORPHA:557493
ORPHA:1114,ORPHA:377789
ORPHA:1114,ORPHA:557493
ORPHA:1116,ORPHA:377788
ORPHA:1116,ORPHA:557493
ORPHA:1117,ORPHA:377788
ORPHA:1117,ORPHA:557493
ORPHA:1118,ORPHA:377789
ORPHA:1118,ORPHA:557493
ORPHA:112,ORPHA:377788
ORPHA:112,ORPHA:557493
ORPHA:1120,ORPHA:377789
ORPHA:1120,ORPHA:557493
ORPHA:1121,ORPHA:377789
ORPHA:1121,ORPHA:557493
ORPHA:1122,ORPHA:377789
ORPHA:1122,ORPHA:557493
ORPHA:1123,ORPHA:377789
ORPHA:1123,ORPHA:557493
ORPHA:1125,ORPHA:377788
ORPHA:1125,ORPHA:557493
ORPHA:1126,ORPHA:377789
ORPHA:1126,ORPHA:557493
ORPHA:1129,ORPHA:377789
ORPHA:1129,ORPHA:557493
ORPHA:113,ORPHA:377788
ORPHA:113,ORPHA:557493
ORPHA:1130,ORPHA:377789
ORPHA:1130,ORPHA:557493
ORPHA:1131,ORPHA:377789
ORPHA:1131,ORPHA:557493
ORPHA:1132,ORPHA:108995
ORPHA:1132,ORPHA:182111
ORPHA:1132,ORPHA:557492
ORPHA:1132,ORPHA:98724
ORPHA:1133,ORPHA:377789
ORPHA:1133,ORPHA:557493
ORPHA:1134,ORPHA:377789
ORPHA:1134,ORPHA:557493
ORPHA:1138,ORPHA:2445
ORPHA:1138,ORPHA:557492
ORPHA:114,ORPHA:377789
ORPHA:114,ORPHA:557493
ORPHA:1143,ORPHA:377788
ORPHA:1143,ORPHA:557493
ORPHA:1144,ORPHA:377789
ORPHA:1144,ORPHA:557493
ORPHA:1145,ORPHA:377788
ORPHA:1145,ORPHA:557493
ORPHA:1146,ORPHA:377789
ORPHA:1146,ORPHA:557493
ORPHA:1147,ORPHA:377789
ORPHA:1147,ORPHA:557493
ORPHA:1149,ORPHA:377789
ORPHA:1149,ORPHA:557493
ORPHA:115,ORPHA:377789
ORPHA:115,ORPHA:557493
ORPHA:1150,ORPHA:377789
ORPHA:1150,ORPHA:557493
ORPHA:1154,ORPHA:377789
ORPHA:1154,ORPHA:557493
ORPHA:1159,ORPHA:377788
ORPHA:1159,ORPHA:557493
ORPHA:116,ORPHA:377789
ORPHA:116,ORPHA:557493
ORPHA:1160,ORPHA:377788
ORPHA:1160,ORPHA:557493
ORPHA:1163,ORPHA:377788
ORPHA:1163,ORPHA:557493
ORPHA:1164,ORPHA:377788
ORPHA:1164,ORPHA:557493
ORPHA:1166,ORPHA:377791
ORPHA:1166,ORPHA:557493
ORPHA:1168,ORPHA:377788
ORPHA:1168,ORPHA:557493
ORPHA:117,ORPHA:377788
ORPHA:117,ORPHA:557493
ORPHA:1170,ORPHA:377788
ORPHA:1170,ORPHA:557493
ORPHA:1171,ORPHA:377788
ORPHA:1171,ORPHA:557493
ORPHA:1172,ORPHA:183518
ORPHA:1172,ORPHA:557492
ORPHA:1172,ORPHA:98539
ORPHA:1173,ORPHA:377788
ORPHA:1173,ORPHA:557493
ORPHA:1174,ORPHA:377789
ORPHA:1174,ORPHA:557493
ORPHA:1175,ORPHA:377788
ORPHA:1175,ORPHA:557493
ORPHA:117569,ORPHA:557492
ORPHA:117569,ORPHA:97935
ORPHA:117573,ORPHA:557492
ORPHA:117573,ORPHA:96346
ORPHA:117602,ORPHA:410298
ORPHA:117605,ORPHA:410298
ORPHA:117613,ORPHA:410298
ORPHA:117617,ORPHA:410298
ORPHA:117620,ORPHA:410298
ORPHA:117623,ORPHA:410298
ORPHA:117631,ORPHA:410298
ORPHA:117639,ORPHA:410298
ORPHA:117646,ORPHA:410298
ORPHA:117652,ORPHA:410298
ORPHA:117658,ORPHA:410298
ORPHA:117665,ORPHA:410298
ORPHA:117673,ORPHA:410298
ORPHA:117677,ORPHA:410298
ORPHA:117683,ORPHA:410298
ORPHA:117685,ORPHA:410298
ORPHA:117687,ORPHA:410298
ORPHA:117691,ORPHA:410298
ORPHA:1177,ORPHA:377788
ORPHA:1177,ORPHA:557493
ORPHA:117700,ORPHA:410298
ORPHA:117705,ORPHA:410298
ORPHA:117709,ORPHA:410298
ORPHA:117713,ORPHA:410298
ORPHA:117718,ORPHA:410298
ORPHA:117724,ORPHA:410298
ORPHA:117728,ORPHA:410298
ORPHA:117738,ORPHA:410298
ORPHA:117743,ORPHA:410298
ORPHA:117750,ORPHA:410298
ORPHA:117753,ORPHA:410298
ORPHA:117757,ORPHA:410298
ORPHA:117759,ORPHA:410298
ORPHA:117764,ORPHA:410298
ORPHA:117771,ORPHA:410298
ORPHA:117773,ORPHA:410298
ORPHA:117776,ORPHA:410298
ORPHA:117780,ORPHA:410298
ORPHA:117785,ORPHA:410298
ORPHA:117790,ORPHA:410298
ORPHA:117793,ORPHA:410298
ORPHA:117797,ORPHA:410298
ORPHA:117799,ORPHA:410298
ORPHA:1178,ORPHA:377788
ORPHA:1178,ORPHA:557493
ORPHA:117805,ORPHA:410298
ORPHA:117810,ORPHA:410298
ORPHA:117818,ORPHA:410298
ORPHA:117820,ORPHA:410298
ORPHA:117822,ORPHA:410298
ORPHA:117825,ORPHA:410298
ORPHA:117832,ORPHA:410298
ORPHA:117844,ORPHA:410298
ORPHA:117846,ORPHA:410298
ORPHA:117849,ORPHA:410298
ORPHA:117853,ORPHA:410298
ORPHA:117861,ORPHA:410298
ORPHA:117868,ORPHA:410298
ORPHA:117871,ORPHA:410298
ORPHA:117873,ORPHA:410298
ORPHA:117877,ORPHA:410298
ORPHA:117882,ORPHA:410298
ORPHA:117886,ORPHA:410298
ORPHA:117888,ORPHA:410298
ORPHA:117892,ORPHA:410298
ORPHA:117894,ORPHA:410298
ORPHA:117898,ORPHA:410298
ORPHA:1179,ORPHA:377788
ORPHA:1179,ORPHA:557493
ORPHA:117903,ORPHA:410298
ORPHA:117908,ORPHA:410298
ORPHA:117913,ORPHA:410298
ORPHA:117916,ORPHA:410298
ORPHA:117925,ORPHA:410298
ORPHA:117927,ORPHA:410298
ORPHA:117931,ORPHA:410298
ORPHA:117935,ORPHA:410298
ORPHA:117939,ORPHA:410298
ORPHA:117942,ORPHA:410298
ORPHA:117944,ORPHA:410298
ORPHA:117948,ORPHA:410298
ORPHA:117952,ORPHA:410298
ORPHA:117957,ORPHA:410298
